|  X0   |  S2   |  S1   |  S0   |  Y0   |  Y1   |  Y2   |  Y3   |  Y4   |  Y5   |  Y6   |  Y7   |
|   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   0   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   1   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |
|   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |
|   1   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |
|   1   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |
|   1   |   1   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |
